STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
Georgia,13,Brooks,27,2,Loblolly and shortleaf pines,Softwood,2,0,132101,,,5686942.157,30286825.02
Georgia,13,Brooks,27,3,Other yellow pines,Softwood,2,0,132101,2162558.529,5548486.551,,
Georgia,13,Brooks,27,8,Cypress,Softwood,2,0,132101,,,17213913.62,
Georgia,13,Brooks,27,27,Other white oaks,Hardwood,2,0,132101,8683082.609,5673085.1,,
Georgia,13,Brooks,27,28,Other red oaks,Hardwood,2,0,132101,11605796.66,26146500.65,60833947.74,83705482.75
Georgia,13,Brooks,27,29,Hickory,Hardwood,2,0,132101,917217.3987,7074779.832,18552532.17,
Georgia,13,Brooks,27,32,Soft maple,Hardwood,2,0,132101,13832469.15,38121011.1,57567418.83,46317124.61
Georgia,13,Brooks,27,34,Sweetgum,Hardwood,2,0,132101,405972.5878,25859229.97,20247192.55,153850139.2
Georgia,13,Brooks,27,35,Tupelo and blackgum,Hardwood,2,0,132101,954540.0511,6209426.932,32792563.22,19219752.04
Georgia,13,Brooks,27,41,Other eastern soft hardwoods,Hardwood,2,0,132101,2481748.341,18699937.71,19006974.7,31130791.3
Georgia,13,Brooks,27,42,Other eastern hard hardwoods,Hardwood,2,0,132101,1801736.974,,,
Georgia,13,Brooks,27,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,1310492.284,15498918.39,6877581.837,
Georgia,13,Brooks,27,55,Urban-specific hardwoods,Hardwood,2,0,132101,1196264.335,2096267.852,,
Georgia,13,Bryan,29,1,Longleaf and slash pines,Softwood,1,0,132101,3146847.895,7358913.384,17918402.83,63532617.87
Georgia,13,Bryan,29,2,Loblolly and shortleaf pines,Softwood,1,0,132101,10745542.58,29498043.52,31663717.37,69924036.17
Georgia,13,Bryan,29,9,Other eastern softwoods,Softwood,1,0,132101,2055161.142,,,
Georgia,13,Bryan,29,25,Select white oaks,Hardwood,1,0,132101,,,,25494956.51
Georgia,13,Bryan,29,27,Other white oaks,Hardwood,1,0,132101,4671593.153,,,
Georgia,13,Bryan,29,28,Other red oaks,Hardwood,1,0,132101,25555453.39,41193021.53,99405536.72,32903730.74
Georgia,13,Bryan,29,29,Hickory,Hardwood,1,0,132101,3499104.985,,,
Georgia,13,Bryan,29,32,Soft maple,Hardwood,1,0,132101,13948072.15,8797054.337,68508553.88,
Georgia,13,Bryan,29,34,Sweetgum,Hardwood,1,0,132101,14627611.46,16251841.32,53023867.02,29249508.51
