STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Coosa,7,29,Hickory,Hardwood,2,0,132101,5204803.421,4355502.656,,,,,,,,,,,,,,,,,
Georgia,13,Baker,7,32,Soft maple,Hardwood,2,0,132101,2854720.989,,,,,,,,,,,,,,,,,,
Georgia,13,Coosa,7,32,Soft maple,Hardwood,2,0,132101,2854720.989,,,,,,,,,,,,,,,,,,
Georgia,13,Baker,7,34,Sweetgum,Hardwood,2,0,132101,,7214555.793,11524234.02,,22420982.25,,,,,,,,,,,,,,
Georgia,13,Coosa,7,34,Sweetgum,Hardwood,2,0,132101,,7214555.793,11524234.02,,22420982.25,,,,,,,,,,,,,,
Georgia,13,Baker,7,35,Tupelo and blackgum,Hardwood,2,0,132101,5215359.753,18419045.83,16935138.03,17105431.17,8446227.335,36003625.82,,57288192.25,,,,,,,,,,,
Georgia,13,Coosa,7,35,Tupelo and blackgum,Hardwood,2,0,132101,5215359.753,18419045.83,16935138.03,17105431.17,8446227.335,36003625.82,,57288192.25,,,,,,,,,,,
Georgia,13,Baker,7,36,Ash,Hardwood,2,0,132101,2389166.168,,,25593898.1,,37308798.77,48939724.48,,,,,,,,,,,,
Georgia,13,Coosa,7,36,Ash,Hardwood,2,0,132101,2389166.168,,,25593898.1,,37308798.77,48939724.48,,,,,,,,,,,,
Georgia,13,Baker,7,41,Other eastern soft hardwoods,Hardwood,2,0,132101,13138397.08,3112962.327,13836559.16,13553532.82,,29240933.55,,,,,,,,,,,,,
Georgia,13,Coosa,7,41,Other eastern soft hardwoods,Hardwood,2,0,132101,13138397.08,3112962.327,13836559.16,13553532.82,,29240933.55,,,,,,,,,,,,,
Georgia,13,Baker,7,42,Other eastern hard hardwoods,Hardwood,2,0,132101,1182515.401,9805675.409,,11416083.94,,,,,,,,,,,,,,,
Georgia,13,Coosa,7,42,Other eastern hard hardwoods,Hardwood,2,0,132101,1182515.401,9805675.409,,11416083.94,,,,,,,,,,,,,,,
Georgia,13,Baker,7,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,5575052.809,24771481.42,26372896.29,30968600.7,,,,,,,,,,,,,,,
Georgia,13,Coosa,7,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,5575052.809,24771481.42,26372896.29,30968600.7,,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,1,Longleaf and slash pines,Softwood,3,0,132101,26162985.68,,,,,,,,,,,,,,,,,,
Georgia,13,Covington,9,1,Longleaf and slash pines,Softwood,3,0,132101,26162985.68,,,,,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,2,Loblolly and shortleaf pines,Softwood,3,0,132101,142498223.5,396219411,692995573.2,644233305.1,600872765.2,335077110.6,,59923065.07,157522154.6,,123549294.5,147048145.7,,,,,,,
Georgia,13,Covington,9,2,Loblolly and shortleaf pines,Softwood,3,0,132101,142498223.5,396219411,692995573.2,644233305.1,600872765.2,335077110.6,,59923065.07,157522154.6,,123549294.5,147048145.7,,,,,,,
