stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
NC,Non-coniferous,black oak,1881993394.1190543,679980985.3530856,7907330115.460035,63517042891.628876
NC,Non-coniferous,black walnut,1660584027.002271,596472687.8141606,2288745913.710706,18391962814.203655
NC,Non-coniferous,butternut,1611595.03139303,619975.5723424255,31280807.7307148,251468172.89265114
NC,Non-coniferous,chestnut oak,11095089681.741392,4100795217.3401604,31046309532.214558,249315252557.40042
NC,Non-coniferous,cucumbertree,401367136.7898592,149847140.73718536,914768001.960188,7342561723.614771
NC,Non-coniferous,green ash,3031058489.5750327,997977577.0097693,3651029458.33447,29373472220.121403
NC,Non-coniferous,mockernut hickory,5248754083.837733,1862979565.5753427,6920482765.955423,55612659213.956696
NC,Non-coniferous,overcup oak,153303823.77922198,48859160.88814527,357741353.6349626,2879371791.584329
NC,Non-coniferous,pecan,59873275.70649019,20530617.708297715,146222173.4221417,1175782486.7693148
NC,Non-coniferous,pignut hickory,7166705078.943145,2581312640.981443,12457913680.231686,100098499981.41154
NC,Non-coniferous,shagbark hickory,970393107.9301534,343407179.5873599,1616471797.5763104,12992491439.334843
NC,Non-coniferous,shelbark hickory,5002386.25117196,1574891.8839822472,46831155.9479108,376478296.917777
NC,Non-coniferous,southern magnolia,36872659.663335696,11608550.305571109,0.0,0.0
NC,Non-coniferous,southern red oak,4454991390.574121,1544095511.0212986,8222020954.447589,66092721969.54249
NC,Non-coniferous,sugar maple,1235011522.0298848,475105073.1138903,1983585739.215933,15921259905.150215
NC,Non-coniferous,swamp white oak,1094749.51313526,344657.93656503677,0.0,0.0
NC,Non-coniferous,sweetbay,540198977.6407332,170358169.42479104,110467167.92988011,889460923.5774078
NC,Non-coniferous,sweetgum,29057761240.266678,9773987623.313187,30907478176.11264,248610374621.7037
NC,Non-coniferous,white ash,1915207984.6357474,689914992.7992113,4266589327.749622,34276617988.407352
NC,Non-coniferous,white oak,16106732176.874266,5670617805.998655,55209265467.907776,443785763960.0136
NC,Non-coniferous,yellow-poplar,37820581415.08336,13335898871.659805,96122587722.52829,772438232377.6104
NC,Softwood,loblolly pine,552855478.0782189,233080527.2305361,,
NC,Softwood,longleaf pine,46712738.03104643,19489289.05950758,,
NC,Softwood,shortleaf pine,34073583.8046632,12487970.390469339,,
NC,Softwood,slash pine,25696550.821857743,12124757.916316766,,
SC,Coniferous,Virginia pine,5394648495.815393,3146719128.8467627,3078804496.0442276,17708757811.69829
SC,Coniferous,baldcypress,1831792675.248588,1176144931.1199775,3614898326.599875,21773149798.874126
SC,Coniferous,eastern redcedar,4325504403.344922,2532055839.438696,1045715230.323766,6029542827.005115
SC,Coniferous,eastern white pine,728865974.0275738,424986638.8194314,3360482626.375451,19328922325.975384
SC,Coniferous,loblolly pine,161411824519.9597,98396001648.83746,167176303276.27332,985395662016.0833
SC,Coniferous,longleaf pine,9242704132.068245,5904167144.38871,7108632683.47538,42793480073.545166
SC,Coniferous,shortleaf pine,6804607678.385913,3984281568.6845007,6686181987.66997,38576433977.205574
SC,Coniferous,slash pine,1716467875.5957227,1102097971.3428633,2703803878.747992,16262011461.863935
SC,Non-coniferous,bitternut hickory,739714116.1702999,453192941.2057857,766349951.3336449,5894220486.135062
SC,Non-coniferous,black cherry,2749917588.2858505,1685255472.9236891,387815059.3568325,2978317630.6594625
SC,Non-coniferous,black oak,1267631720.0065932,769893134.1719686,2216987924.7977962,17068009007.007063
SC,Non-coniferous,black walnut,312321191.5458419,188859848.73221818,507030087.6408448,3905564827.0666027
SC,Non-coniferous,chestnut oak,2054085109.7293727,1239720601.4212751,5881475509.812375,45303985783.675995
SC,Non-coniferous,cucumbertree,131800805.99196959,79658899.09261651,28531989.234606,219776964.55728716
SC,Non-coniferous,green ash,2790981262.2796493,1727403237.749542,3223144089.493533,24765084447.046288
SC,Non-coniferous,mockernut hickory,5414573236.908508,3306826948.4566283,5149947784.690959,39609882371.71602
SC,Non-coniferous,overcup oak,150515239.7666237,94494759.97793695,867712789.0146903,6644959900.218494
SC,Non-coniferous,pecan,285781568.4578662,173891932.09704605,146873626.07513452,1128888654.1381261
SC,Non-coniferous,pignut hickory,2666015255.4267597,1621494278.4448693,2381526770.890185,18312998596.935738
SC,Non-coniferous,shagbark hickory,1679234875.9159853,1015642336.8825617,2391961875.3197327,18419828327.19263
SC,Non-coniferous,southern magnolia,137849766.1403631,86916365.42891002,94640443.9227411,724458106.4106075
SC,Non-coniferous,southern red oak,4918788385.832522,3009241070.936836,11269959603.423948,86738722537.84262
SC,Non-coniferous,swamp white oak,578121.708053239,364876.09614678886,0.0,0.0
SC,Non-coniferous,sweetbay,173065324.5296284,109228557.0894575,22379185.057502903,171309234.80247277
