stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,product,sizerange,volume,value
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,19.0-20.9,0.0,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,05.0-06.9,712766018.446804,578233659.8587774
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,07.0-08.9,758084668.4577515,614998556.3009399
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,09.0-10.9,920434293.3128111,746705196.8071847
AL,01,01,02,653,sweetbay,43,Non-coniferous,Pulpwood,11.0-12.9,807119862.1675289,654778510.4329771
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,13.0-14.9,592497006.295441,5249632717.413143
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,15.0-16.9,438794335.5292949,3887798715.495166
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,17.0-18.9,203736842.1133299,1805145985.1043673
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,19.0-20.9,25548914.7246823,226368095.04183754
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,21.0-22.9,101354991.816528,898023914.8210542
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,653,sweetbay,43,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Pulpwood,05.0-06.9,86319967.2900976,70027343.21398945
AL,01,01,02,762,black cherry,41,Non-coniferous,Pulpwood,07.0-08.9,104393858.40087128,84689843.85851432
AL,01,01,02,762,black cherry,41,Non-coniferous,Pulpwood,09.0-10.9,58761237.463887855,47670237.5214461
AL,01,01,02,762,black cherry,41,Non-coniferous,Pulpwood,11.0-12.9,13814542.1658301,11207090.502473937
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,13.0-14.9,16461739.5961052,145854047.9547301
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,15.0-16.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,19.0-20.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,762,black cherry,41,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,802,white oak,25,Non-coniferous,Pulpwood,05.0-06.9,38040573.37059945,30860534.023690585
AL,01,01,02,802,white oak,25,Non-coniferous,Pulpwood,07.0-08.9,42966840.72365269,34856983.80844051
AL,01,01,02,802,white oak,25,Non-coniferous,Pulpwood,09.0-10.9,38158373.2819743,30956099.56991816
AL,01,01,02,802,white oak,25,Non-coniferous,Pulpwood,11.0-12.9,50413083.058351494,40897771.17197221
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,13.0-14.9,33254795.2737839,294643617.47860396
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,15.0-16.9,0.0,0.0
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,17.0-18.9,95489324.9025817,846053024.4811528
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,19.0-20.9,44573159.712928,394926413.2328641
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,802,white oak,25,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,812,southern red oak,28,Non-coniferous,Pulpwood,05.0-06.9,136732821.94103318,110924929.08973174
AL,01,01,02,812,southern red oak,28,Non-coniferous,Pulpwood,07.0-08.9,121546089.30978113,98604644.78408904
AL,01,01,02,812,southern red oak,28,Non-coniferous,Pulpwood,09.0-10.9,116101318.88362694,94187557.76096387
AL,01,01,02,812,southern red oak,28,Non-coniferous,Pulpwood,11.0-12.9,104430281.3573305,84719392.09576361
AL,01,01,02,812,southern red oak,28,Non-coniferous,Sawtimber,13.0-14.9,180235089.0719361,1596916120.0219014
AL,01,01,02,812,southern red oak,28,Non-coniferous,Sawtimber,15.0-16.9,99534461.6424228,881893681.8182312
AL,01,01,02,812,southern red oak,28,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
